date,state,total_enrollment,total_demographic_updates,total_biometric_updates
2025-03-01,Andaman And Nicobar Islands,0,1338,2703
2025-03-01,Andhra Pradesh,0,513040,403296
2025-03-01,Arunachal Pradesh,0,7809,7400
2025-03-01,Assam,0,202037,92931
2025-03-01,Bihar,0,1086699,763509
2025-03-01,Chandigarh,0,10245,6430
2025-03-01,Chhattisgarh,0,301466,171392
2025-03-01,Dadra And Nagar Haveli And Daman And Diu,0,1643,5087
2025-03-01,Delhi,0,263388,159709
2025-03-01,Goa,0,7571,8983
2025-03-01,Gujarat,0,454378,396391
2025-03-01,Haryana,0,187263,191374
2025-03-01,Himachal Pradesh,0,31801,55452
2025-03-01,Jammu And Kashmir,0,92244,98299
2025-03-01,Jharkhand,0,558617,330286
2025-03-01,Karnataka,0,399295,312129
2025-03-01,Kerala,0,100850,172725
2025-03-01,Ladakh,0,2566,956
2025-03-01,Lakshadweep,0,0,425
2025-03-01,Madhya Pradesh,0,663952,663358
2025-03-01,Maharashtra,0,712202,959149
2025-03-01,Manipur,0,31746,15666
2025-03-01,Meghalaya,0,39032,11817
2025-03-01,Mizoram,0,16997,51069
2025-03-01,Nagaland,0,10572,15893
2025-03-01,Odisha,0,366256,352037
2025-03-01,Puducherry,0,4356,5928
2025-03-01,Punjab,0,175372,260570
2025-03-01,Rajasthan,0,1159753,424206
2025-03-01,Sikkim,0,2070,1988
2025-03-01,Tamil Nadu,0,513763,680675
2025-03-01,Telangana,0,322455,169652
2025-03-01,Tripura,0,40276,61839
2025-03-01,Uttar Pradesh,0,2199725,1131504
2025-03-01,Uttarakhand,0,99949,61294
2025-03-01,West Bengal,0,560468,268875
2025-03-02,Meghalaya,109,0,0
2025-03-09,Bihar,1005,0,0
2025-03-09,Delhi,232,0,0
2025-03-09,Haryana,200,0,0
2025-03-09,Karnataka,248,0,0
2025-03-09,Madhya Pradesh,242,0,0
2025-03-09,Maharashtra,100,0,0
2025-03-09,Punjab,49,0,0
2025-03-09,Rajasthan,94,0,0
2025-03-09,Uttar Pradesh,1113,0,0
2025-03-09,West Bengal,121,0,0
2025-03-15,Assam,455,0,0
2025-03-15,Bihar,448,0,0
2025-03-15,Delhi,136,0,0
2025-03-15,Maharashtra,68,0,0
2025-03-15,Meghalaya,331,0,0
2025-03-15,Uttar Pradesh,1604,0,0
2025-03-15,Uttarakhand,60,0,0
2025-03-20,Andhra Pradesh,116,0,0
2025-03-20,Assam,2037,0,0
2025-03-20,Bihar,247,0,0
2025-03-20,Gujarat,612,0,0
2025-03-20,Karnataka,484,0,0
2025-03-20,Madhya Pradesh,116,0,0
2025-03-20,Maharashtra,237,0,0
2025-03-20,Meghalaya,401,0,0
2025-03-20,Punjab,131,0,0
2025-03-20,Tamil Nadu,34,0,0
2025-03-20,Uttar Pradesh,1552,0,0
2025-03-20,Uttarakhand,251,0,0
2025-03-23,Bihar,85,0,0
2025-03-23,Madhya Pradesh,47,0,0
2025-03-23,Meghalaya,240,0,0
2025-03-23,Uttar Pradesh,204,0,0
2025-03-26,Meghalaya,211,0,0
2025-03-27,Bihar,567,0,0
2025-03-27,Chhattisgarh,260,0,0
2025-03-27,Gujarat,710,0,0
2025-03-27,Jharkhand,55,0,0
2025-03-27,Madhya Pradesh,137,0,0
2025-03-27,Maharashtra,55,0,0
2025-03-27,Uttar Pradesh,920,0,0
2025-03-28,Meghalaya,191,0,0
2025-03-29,Meghalaya,67,0,0
2025-04-01,Andaman And Nicobar Islands,0,0,2744
2025-04-01,Andhra Pradesh,0,48881,608589
2025-04-01,Arunachal Pradesh,0,0,8375
2025-04-01,Assam,25654,4355,139659
2025-04-01,Bihar,29442,15300,795719
2025-04-01,Chandigarh,117,14885,7921
2025-04-01,Chhattisgarh,1745,64554,287729
2025-04-01,Dadra And Nagar Haveli And Daman And Diu,0,1122,4873
2025-04-01,Delhi,5930,312751,261480
2025-04-01,Goa,0,0,9312
2025-04-01,Gujarat,27846,72610,374310
2025-04-01,Haryana,2328,126593,216642
2025-04-01,Himachal Pradesh,0,1858,52041
2025-04-01,Jammu And Kashmir,211,47713,89932
2025-04-01,Jharkhand,3706,6126,378962
2025-04-01,Karnataka,9586,67238,300403
2025-04-01,Kerala,0,0,180318
2025-04-01,Ladakh,0,0,1003
2025-04-01,Lakshadweep,0,0,706
2025-04-01,Madhya Pradesh,17351,181014,834670
2025-04-01,Maharashtra,10591,62436,846049
2025-04-01,Manipur,632,0,16868
2025-04-01,Meghalaya,30512,0,11865
2025-04-01,Mizoram,368,2110,24235
2025-04-01,Nagaland,3506,0,14868
2025-04-01,Odisha,276,0,297648
2025-04-01,Puducherry,0,0,5642
2025-04-01,Punjab,5753,24839,212563
2025-04-01,Rajasthan,16842,137361,376914
2025-04-01,Sikkim,176,0,1996
2025-04-01,Tamil Nadu,499,42690,491490
2025-04-01,Telangana,634,27034,142160
2025-04-01,Tripura,286,0,47615
2025-04-01,Uttar Pradesh,57903,180864,1257448
2025-04-01,Uttarakhand,1276,35002,73472
2025-04-01,West Bengal,4268,38336,250432
2025-05-01,Andaman And Nicobar Islands,0,0,1895
2025-05-01,Andhra Pradesh,0,155804,500660
2025-05-01,Arunachal Pradesh,0,0,8305
2025-05-01,Assam,13197,1428,83841
2025-05-01,Bihar,31651,10192,552199
2025-05-01,Chandigarh,0,12143,6566
2025-05-01,Chhattisgarh,1406,68269,266716
2025-05-01,Dadra And Nagar Haveli And Daman And Diu,0,0,5248
2025-05-01,Delhi,5581,131986,179553
2025-05-01,Goa,0,0,8728
2025-05-01,Gujarat,14294,130821,452907
2025-05-01,Haryana,3696,114481,170812
2025-05-01,Himachal Pradesh,0,1136,32054
2025-05-01,Jammu And Kashmir,268,20528,77298
2025-05-01,Jharkhand,0,3546,232396
2025-05-01,Karnataka,5491,107081,354026
2025-05-01,Kerala,380,0,247491
2025-05-01,Ladakh,0,0,552
2025-05-01,Lakshadweep,0,0,701
2025-05-01,Madhya Pradesh,10603,263262,779064
2025-05-01,Maharashtra,9849,90731,947776
2025-05-01,Manipur,291,0,15802
2025-05-01,Meghalaya,17380,0,11226
2025-05-01,Mizoram,737,490,7920
2025-05-01,Nagaland,666,0,14167
2025-05-01,Odisha,0,0,295436
2025-05-01,Puducherry,0,453,6619
2025-05-01,Punjab,3767,40724,194508
2025-05-01,Rajasthan,2961,72904,324061
2025-05-01,Sikkim,0,0,1281
2025-05-01,Tamil Nadu,420,27469,492262
2025-05-01,Telangana,911,27506,167061
2025-05-01,Tripura,0,0,29969
2025-05-01,Uttar Pradesh,49861,183385,1048878
2025-05-01,Uttarakhand,624,26726,62922
2025-05-01,West Bengal,9582,75222,289260
2025-06-01,Andaman And Nicobar Islands,0,0,1944
2025-06-01,Andhra Pradesh,1574,132318,508472
2025-06-01,Arunachal Pradesh,0,0,7138
2025-06-01,Assam,9734,2445,71576
2025-06-01,Bihar,46386,0,494457
